market,areaName,task,reason,priority
nashville-edge-tn,"Nashville / Davidson County, TN","Find owner/seller parcel leads in Nashville / Davidson County, TN",new target area needs seller/parcel discovery,96
chattanooga-tn,"Chattanooga / Hamilton County, TN","Find owner/seller parcel leads in Chattanooga / Hamilton County, TN",new target area needs seller/parcel discovery,92
murfreesboro-tn,"Murfreesboro / Rutherford County, TN","Find owner/seller parcel leads in Murfreesboro / Rutherford County, TN",new target area needs seller/parcel discovery,90
franklin-tn,"Franklin / Williamson County, TN","Find owner/seller parcel leads in Franklin / Williamson County, TN",new target area needs seller/parcel discovery,88
polk-fl,"Polk County / Lakeland, FL","Find owner/seller parcel leads in Polk County / Lakeland, FL",new target area needs seller/parcel discovery,84
ocala-fl,"Ocala / Marion County, FL","Find owner/seller parcel leads in Ocala / Marion County, FL",new target area needs seller/parcel discovery,80
clermont-fl,"Clermont / Lake County, FL","Find owner/seller parcel leads in Clermont / Lake County, FL",new target area needs seller/parcel discovery,78
alachua-fl,"Gainesville / Alachua County, FL","Find owner/seller parcel leads in Gainesville / Alachua County, FL",new target area needs seller/parcel discovery,74
maricopa-az,"Maricopa County / Phoenix-Mesa, AZ","Find owner/seller parcel leads in Maricopa County / Phoenix-Mesa, AZ",new target area needs seller/parcel discovery,70
tucson-az,"Tucson / Pima County, AZ","Find owner/seller parcel leads in Tucson / Pima County, AZ",new target area needs seller/parcel discovery,66
buckeye-az,"Buckeye, AZ","Find owner/seller parcel leads in Buckeye, AZ",new target area needs seller/parcel discovery,64
raleigh-nc,"Raleigh / Wake County, NC","Find owner/seller parcel leads in Raleigh / Wake County, NC",new target area needs seller/parcel discovery,60
charlotte-nc,"Charlotte / Mecklenburg County, NC","Find owner/seller parcel leads in Charlotte / Mecklenburg County, NC",new target area needs seller/parcel discovery,56
greensboro-nc,"Greensboro / Guilford County, NC","Find owner/seller parcel leads in Greensboro / Guilford County, NC",new target area needs seller/parcel discovery,52
cabarrus-nc,"Concord / Cabarrus County, NC","Find owner/seller parcel leads in Concord / Cabarrus County, NC",new target area needs seller/parcel discovery,50
austin-tx,"Austin, TX","Find owner/seller parcel leads in Austin, TX",new target area needs seller/parcel discovery,44
san-antonio-tx,"San Antonio, TX","Find owner/seller parcel leads in San Antonio, TX",new target area needs seller/parcel discovery,42
plano-tx,"Plano / Collin County, TX","Find owner/seller parcel leads in Plano / Collin County, TX",new target area needs seller/parcel discovery,38
mcallen-tx,"McAllen, TX","Find owner/seller parcel leads in McAllen, TX",new target area needs seller/parcel discovery,34