builderName,island/market,website,contactUrl,phone,email,evidenceUrl,evidenceType,activitySignal,confidence,notes,sourceBatch,route
Jim A Riddiford,Hawaii County / Mountian View,,https://www.buildzoom.com/contractor/jim-a-riddiford,,,https://www.buildzoom.com/contractor/jim-a-riddiford,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Michael J Fairchild,Hawaii County / Mountain View,,https://www.buildzoom.com/contractor/michael-j-fairchild,,,https://www.buildzoom.com/contractor/michael-j-fairchild,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Michael K Evans Jr,Hawaii County / Mountain View,,https://www.buildzoom.com/contractor/michael-k-evans-jr,,,https://www.buildzoom.com/contractor/michael-k-evans-jr,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Larry C Bianchi,Hawaii County / Mountain View,,https://www.buildzoom.com/contractor/larry-c-bianchi,,,https://www.buildzoom.com/contractor/larry-c-bianchi,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Monarch Inc,Hawaii County / Mountain View,,https://www.buildzoom.com/contractor/monarch-inc-holualoa-hi,,,https://www.buildzoom.com/contractor/monarch-inc-holualoa-hi,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
John F Dichristina,Hawaii County / Mountain View,,https://www.buildzoom.com/contractor/john-f-dichristina,,,https://www.buildzoom.com/contractor/john-f-dichristina,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Ola Builders LLC,Hawaii County / Mountain View,,https://www.buildzoom.com/contractor/ola-builders-llc-mountain-view-hi,,,https://www.buildzoom.com/contractor/ola-builders-llc-mountain-view-hi,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Kimo Kahele Construction,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/kimo-kahele-construction,(808) 966-4855,,https://www.buildzoom.com/contractor/kimo-kahele-construction,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,medium,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Heartwood Pacific LLC,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/heartwood-pacific-llc,(808) 327-6700,,https://www.buildzoom.com/contractor/heartwood-pacific-llc,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,medium,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Hawaii Contracting LLC,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/hawaii-contracting-llc,,,https://www.buildzoom.com/contractor/hawaii-contracting-llc,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Uh Construction Co,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/uh-construction-co,,,https://www.buildzoom.com/contractor/uh-construction-co,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Vvnv Inc,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/vvnv-inc,,,https://www.buildzoom.com/contractor/vvnv-inc,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
A&C Contracting,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/a-c-contracting-hi,,,https://www.buildzoom.com/contractor/a-c-contracting-hi,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Jp Construction,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/jp-construction-kamuela,,,https://www.buildzoom.com/contractor/jp-construction-kamuela,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Charles A Maciel,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/charles-a-maciel,(951) 312-0408,,https://www.buildzoom.com/contractor/charles-a-maciel,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,medium,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Stephen J Sorensen,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/stephen-j-sorensen,,,https://www.buildzoom.com/contractor/stephen-j-sorensen,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Polynesian Development Inc,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/polynesian-development-inc,(808) 896-9891,,https://www.buildzoom.com/contractor/polynesian-development-inc,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,medium,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Built Rite Construction Hawaii LLC,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/built-rite-construction-hawaii-llc,1(808) 933-1553,,https://www.buildzoom.com/contractor/built-rite-construction-hawaii-llc,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,medium,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Rosebud Enterprises,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/rosebud-enterprises,,,https://www.buildzoom.com/contractor/rosebud-enterprises,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
James B Lucas,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/james-b-lucas,,,https://www.buildzoom.com/contractor/james-b-lucas,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Gw Construction,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/gw-construction-keaau,(877) 763-5298,,https://www.buildzoom.com/contractor/gw-construction-keaau,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,medium,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Paul Baillie and Sons Builders,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/paul-baillie-and-sons-builders,,,https://www.buildzoom.com/contractor/paul-baillie-and-sons-builders,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
DL Downing Gen Contractor Inc,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/dl-downing-gen-contractor-inc,(808) 935-6707,,https://www.buildzoom.com/contractor/dl-downing-gen-contractor-inc,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,medium,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
O'leary Construction,Hawaii County / BuildZoom HI cache,,https://www.buildzoom.com/contractor/oleary-construction-hi,,,https://www.buildzoom.com/contractor/oleary-construction-hi,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Mantaray 808 Limited Liability Company,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/mantaray-808-limited-liability-company,,,https://www.buildzoom.com/contractor/mantaray-808-limited-liability-company,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Timothy G Olson,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/timothy-g-olson,,,https://www.buildzoom.com/contractor/timothy-g-olson,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Jonathan M Riingen,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/jonathan-m-riingen,,,https://www.buildzoom.com/contractor/jonathan-m-riingen,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Teamco Construction LLC,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/teamco-construction-llc,,,https://www.buildzoom.com/contractor/teamco-construction-llc,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Cjr Contracting Limited Liability Company,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/cjr-contracting-limited-liability-company,,,https://www.buildzoom.com/contractor/cjr-contracting-limited-liability-company,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Pacific Underwater Construction LLC,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/pacific-underwater-construction-llc,,,https://www.buildzoom.com/contractor/pacific-underwater-construction-llc,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Hawaiian Paradise Builders Inc,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/hawaiian-paradise-builders-inc,,,https://www.buildzoom.com/contractor/hawaiian-paradise-builders-inc,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Ganir General Contracting LLC,Hawaii County / Keaau,,https://www.buildzoom.com/contractor/ganir-general-contracting-llc,,,https://www.buildzoom.com/contractor/ganir-general-contracting-llc,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
John Maddox Construction,Hawaii County / Pāhoa,,https://www.buildzoom.com/contractor/john-maddox-construction,(808) 464-3181,,https://www.buildzoom.com/contractor/john-maddox-construction,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,medium,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Miroslava Baranova,Hawaii County / Pahoa,,https://www.buildzoom.com/contractor/miroslava-baranova,,,https://www.buildzoom.com/contractor/miroslava-baranova,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Terry F Canda,Hawaii County / Pahoa,,https://www.buildzoom.com/contractor/terry-f-canda,,,https://www.buildzoom.com/contractor/terry-f-canda,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Cre8ive Building,Hawaii County / Pahoa,,https://www.buildzoom.com/contractor/cre8ive-building,,,https://www.buildzoom.com/contractor/cre8ive-building,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Metzger Enterprises LLC,Hawaii County / Pāhoa,,https://www.buildzoom.com/contractor/metzger-enterprises-llc,,,https://www.buildzoom.com/contractor/metzger-enterprises-llc,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Vernon D Olson,Hawaii County / Pahoa,,https://www.buildzoom.com/contractor/vernon-d-olson,,,https://www.buildzoom.com/contractor/vernon-d-olson,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Dennis G Rigby,Hawaii County / Pahoa,,https://www.buildzoom.com/contractor/dennis-g-rigby,(808) 430-8627,,https://www.buildzoom.com/contractor/dennis-g-rigby,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,medium,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Michael F Gornik,Hawaii County / Pahoa,,https://www.buildzoom.com/contractor/michael-f-gornik,,,https://www.buildzoom.com/contractor/michael-f-gornik,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
David L McRay,Hawaii County / Pāhoa,,https://www.buildzoom.com/contractor/david-l-mcray,,,https://www.buildzoom.com/contractor/david-l-mcray,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Leo Coleman Construction Inc,Hawaii County / Pāhoa,,https://www.buildzoom.com/contractor/leo-coleman-construction-inc-pahoa,,,https://www.buildzoom.com/contractor/leo-coleman-construction-inc-pahoa,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Gilbert Kealoha,Hawaii County / Pahoa,,https://www.buildzoom.com/contractor/gilbert-kealoha,,,https://www.buildzoom.com/contractor/gilbert-kealoha,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
E&J Construction,Hawaii County / Pāhoa,,https://www.buildzoom.com/contractor/e-and-j-construction-pahoa,,,https://www.buildzoom.com/contractor/e-and-j-construction-pahoa,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Arthur W Willison,Hawaii County / Pahoa,,https://www.buildzoom.com/contractor/arthur-w-willison,,,https://www.buildzoom.com/contractor/arthur-w-willison,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Firm Foundation Builders,Hawaii County / Pahoa,,https://www.buildzoom.com/contractor/firm-foundation-builders-pahoa,,,https://www.buildzoom.com/contractor/firm-foundation-builders-pahoa,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Kevin M Wibberley,Hawaii County / Pāhoa,,https://www.buildzoom.com/contractor/kevin-m-wibberley,,,https://www.buildzoom.com/contractor/kevin-m-wibberley,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Mark J Metzger Sr,Hawaii County / Pāhoa,,https://www.buildzoom.com/contractor/mark-j-metzger-sr,,,https://www.buildzoom.com/contractor/mark-j-metzger-sr,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Gilbert J Aguinaldo,Hawaii County / Pahoa,,https://www.buildzoom.com/contractor/gilbert-j-aguinaldo,,,https://www.buildzoom.com/contractor/gilbert-j-aguinaldo,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Jeff White Construction Inc,Hawaii County / Pāhoa,,https://www.buildzoom.com/contractor/jeff-white-construction-inc-honolulu,,,https://www.buildzoom.com/contractor/jeff-white-construction-inc-honolulu,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
South Pacific Island Designs,Hawaii County / Pāhoa,,https://www.buildzoom.com/contractor/south-pacific-island-designs,,,https://www.buildzoom.com/contractor/south-pacific-island-designs,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
McMurray Construction,Hawaii County / Pāhoa,,https://www.buildzoom.com/contractor/mcmurray-construction-hi,,,https://www.buildzoom.com/contractor/mcmurray-construction-hi,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Shawn M Faulstick,Hawaii County / Pahoa,,https://www.buildzoom.com/contractor/shawn-m-faulstick,,,https://www.buildzoom.com/contractor/shawn-m-faulstick,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Jeff Regan,Hawaii County / Pahoa,,https://www.buildzoom.com/contractor/jeff-regan,(707) 291-2939,,https://www.buildzoom.com/contractor/jeff-regan,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,medium,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Blue Fin Construction LLC,Hawaii County / BuildZoom HI cache,,https://www.buildzoom.com/contractor/blue-fin-construction-llc,(808) 421-8541,,https://www.buildzoom.com/contractor/blue-fin-construction-llc,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,medium,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Eric A Johnson,Hawaii County / Pāhoa,,https://www.buildzoom.com/contractor/eric-a-johnson,(208) 651-6633,,https://www.buildzoom.com/contractor/eric-a-johnson,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,medium,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
Aleksey P Timoshenko,Hawaii County / Pāhoa,,https://www.buildzoom.com/contractor/aleksey-p-timoshenko,,,https://www.buildzoom.com/contractor/aleksey-p-timoshenko,BuildZoom public profile/cache appendix,Public contractor profile/category row; verify active 2026 fit and buy box by office call before promotion.,low,Secondary append-only lead from existing LandFlip BuildZoom cache; not a validated buyer; business-facing contactUrl only.,buildzoom_cache_appendix,buyerValidation
